Aladdin,(1992),G,90 min,$217.35M,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman
Home Alone 2: Lost in New York,(1992),PG,120 min,$173.59M,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara
Batman Returns,(1992),PG-13,126 min,$162.83M,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken
Lethal Weapon 3,(1992),R,118 min,$144.73M,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo
A Few Good Men,(1992),R,138 min,$141.34M,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon
Sister Act,(1992),PG,100 min,$139.61M,Emile Ardolino,Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena
The Bodyguard,(1992),R,129 min,$121.95M,Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs
Wayne's World,(1992),PG-13,94 min,$121.70M,Penelope Spheeris,Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere
Basic Instinct,(1992),R,127 min,$117.73M,Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn
A League of Their Own,(1992),PG,128 min,$107.46M,Penny Marshall,Tom Hanks,Geena Davis,Lori Petty,Madonna
Unforgiven,(1992),R,131 min,$101.16M,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris
The Hand That Rocks the Cradle,(1992),R,110 min,$88.04M,Curtis Hanson,Annabella Sciorra,Rebecca De Mornay,Matt McCoy,Ernie Hudson
Under Siege,(1992),R,103 min,$83.36M,Andrew Davis,Steven Seagal,Gary Busey,Tommy Lee Jones,Erika Eleniak
Patriot Games,(1992),R,117 min,$83.29M,Phillip Noyce,Harrison Ford,Sean Bean,Anne Archer,Patrick Bergin
Dracula,(1992),R,128 min,$82.52M,Francis Ford Coppola,Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves
White Men Can't Jump,(1992),R,115 min,$76.25M,Ron Shelton,Wesley Snipes,Woody Harrelson,Rosie Perez,Tyra Ferrell
The Last of the Mohicans,(1992),R,112 min,$72.46M,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig
Boomerang,(1992),R,117 min,$70.10M,Reginald Hudlin,Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier
Scent of a Woman,(1992),R,156 min,$63.90M,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar
The Crying Game,(1992),R,112 min,$62.55M,Neil Jordan,Stephen Rea,Jaye Davidson,Forest Whitaker,Miranda Richardson
Far and Away,(1992),PG-13,140 min,$58.88M,Ron Howard,Tom Cruise,Nicole Kidman,Thomas Gibson,Robert Prosky
Honey I Blew Up the Kid,(1992),PG,89 min,$58.66M,Randal Kleiser,Rick Moranis,Marcia Strassman,Robert Oliveri,Daniel Shalikar
HouseSitter,(1992),PG,102 min,$58.50M,Frank Oz,Steve Martin,Goldie Hawn,Dana Delany,Julie Harris
Death Becomes Her,(1992),PG-13,104 min,$58.42M,Robert Zemeckis,Meryl Streep,Bruce Willis,Goldie Hawn,Isabella Rossellini
Unlawful Entry,(1992),R,117 min,$57.14M,Jonathan Kaplan,Kurt Russell,Ray Liotta,Madeleine Stowe,Roger E. Mosley
